ID	CorrectedPvalue	Name	GeneMembers	NumGenes
GO:0048002	0.03299586	antigen processing and presentation of peptide antigen	ACTR10|AP1B1|AP2A1|DCTN3|DCTN6|DNM2|DYNC1LI1|DYNLL1|KIF2A|KLC1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|SEC23A|SPTBN2|	25
GO:0002682	0.03315043	regulation of immune system process	ABCE1|ABR|ADORA1|APOD|APOE|APPL2|ARPC1A|ATP6AP1|C1QBP|C4B|CADM1|CD81|CD9|CD99L2|CFH|CLPTM1|CLU|CNPY3|CORO1A|CTSB|CYFIP1|DDX1|ELMO1|EZR|FAM49B|FKBP1A|FYN|GSN|H3F3A|HSPA9|HSPH1|ICAM5|JAM2|LGALS1|MAP2K4|MAP2K6|MAPK10|MAPK3|MAPK9|MATR3|MSN|NME2|NPDC1|PDE4D|PLCB1|PPP3CA|PRDX2|PRKCA|PRKCE|PRMT1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|PSPC1|PTN|RPS3|SH3KBP1|SIRPA|SKP1|SLC39A10|SMPD3|STAT1|STK39|STXBP1|TFRC|THY1|TTLL12|UBE2K|VAMP2|WASL|WNK1|	81
GO:0019884	0.03417429	antigen processing and presentation of exogenous antigen	ACTR10|AP1B1|AP2A1|DCTN3|DCTN6|DNM2|DYNC1LI1|DYNLL1|KIF2A|KLC1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|SEC23A|SPTBN2|	25
GO:0019773	0.03475846	proteasome core complex, alpha-subunit complex	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|	7
GO:0014074	0.03544	response to purine-containing compound	APEX1|AQP1|DMTN|EZR|HMGCS1|PTPRN|RAP1B|RYR2|SLC6A1|STAT1|	10
GO:0002478	0.03544	antigen processing and presentation of exogenous peptide antigen	ACTR10|AP1B1|AP2A1|DCTN3|DCTN6|DNM2|DYNC1LI1|DYNLL1|KIF2A|KLC1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|SEC23A|SPTBN2|	25
GO:1902750	0.03544	negative regulation of cell cycle G2/M phase transition	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|SKP1|	14
GO:0006413	0.0355829	translational initiation	ABCE1|EIF2S2|EIF3E|EIF4A1|EIF4A2|EIF4B|EIF4E|MCTS1|MTIF2|RPL10|RPL10A|RPL12|RPL13A|RPL15|RPL21|RPL27|RPL5|RPS12|RPS15A|RPS16|RPS17|RPS29|RPS3|RPSA|	24
GO:1905369	0.0356172	endopeptidase complex	DNAJB2|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|RAD23A|RAD23B|TXNL1|UCHL5|	18
GO:0002684	0.03572255	positive regulation of immune system process	APPL2|ARPC1A|ATP6AP1|C1QBP|C4B|CADM1|CD81|CD99L2|CFH|CLU|CNPY3|CORO1A|CTSB|CYFIP1|DDX1|ELMO1|FAM49B|FYN|HSPH1|JAM2|LGALS1|MAP2K6|MAPK3|MATR3|PDE4D|PRKCA|PRKCE|PRMT1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB3|PSMB5|PSMB7|PSMC2|PSMC3|PSME1|PSPC1|PTN|RPS3|SH3KBP1|SIRPA|SKP1|SLC39A10|STAT1|STK39|STXBP1|TFRC|THY1|UBE2K|VAMP2|WASL|WNK1|	57
